3,食品餐饮,使用说明看不懂！不会用，很多操作没详细标明！,0,使用 说明 看不懂 操作 详细 标明
4,食品餐饮,越来越不好了，菜品也少了，服务也不及时。,0,越来越 不好 菜品 少 服务 及时
18,食品餐饮,越来越差了，价位高了，菜量小了。希望努力提高。,0,越来越 差 价位 高 菜量 小 希望 努力提高
19,食品餐饮,比晋祠路上的那个量少多了，各种东西量都少,0,比晋 祠 路上 量少 东西 量 少
23,食品餐饮,哪个菜都不好吃，特别是烤鸭，太失望了,0,菜 好吃 特别 烤鸭 太 失望
32,食品餐饮,虾好吃，扇贝限量一个，还有生蚝什么的不好吃,0,虾 好吃 扇贝 限量 一个 生 蚝 好吃
37,食品餐饮,回龙观店吃的，空调不足，老板马门帘掀开了，受不了。,0,回龙观 店 吃 空调 不足 老板 马 门帘 掀开 受不了
39,食品餐饮,下面的评价都是托，教的口味根本不好，和我们这的差距很大，真会骗人,0,下面 评价 托教 口味 根本 不好 差距 很大 真 骗人
41,食品餐饮,全家聚餐去的十几个人，总觉得好像换厨师了，有好几个菜都没有，而且味道不如以前去的好，有些菜做咸了，有的又偏甜，希望有改进,0,全家 聚餐 十几个 人 总 觉得 好像 换 厨师 好几个 菜 味道 以前 好 菜 做 咸 偏甜 希望 改进
43,食品餐饮,太辣了，都吃不出来什么味道了，舌头都麻木了，就剩辣味了。,0,太辣 吃不出来 味道 舌头 麻木 剩 辣味
44,食品餐饮,肯德基你啥时候能把握好食品卫生这关，经常性的爆出食品问题，现在都很少去吃了，真心感觉不是很健康。,0,肯德基 啥时候 把握 好 食品卫生 这关 经常性 爆出 食品 问题 现在 吃 真心 感觉 健康
47,食品餐饮,点了五个菜两人。没一个好吃。鸭架子汤还是凉的。哎太失望了,0,点 五个 菜 两人 一个 好吃 鸭 架子 汤 凉 太 失望
51,食品餐饮,味道不怎么样，点的肘子都做成了黑色！别的味道也都极其一般。包间小的可怜，2岁孩子吃完了想溜达下，椅子跟墙的空间都过不去！服务也差的很，餐具要了好几次才给，茶水第一次给送来，后来再加水都是自己动手的,0,味道 不怎么样 点 肘子 做成 黑色 味道 包间 小 可怜 岁 孩子 吃 完 想 溜达 下 椅子 墙 空间 过不去 服务 差 餐具 好 几次 茶水 第一次 送来 再 加水 动手
64,食品餐饮,我超爱吃饭儿的早餐，用一种周围同事无法理解的感情去爱，其实就一点：干净、放心。我几年前看过央视的报道之后，就再也没敢在外面吃过肉包子，都是猪淋巴，没人要的垃圾，还有我家附近几个卖早点的，那老头手指甲有5cm长，里面全是黑黑的东西，自从看见他的指甲伸到我的粥里面之后，我现在想起来还想吐。,0,超爱 吃饭 儿 早餐 一种 周围 同事 无法 理解 感情 爱 一点 干净 放心 几年 前 看过 央视 报道 之后 再也 没敢 外面 吃 肉包子 猪 淋巴 没人要 垃圾 我家 附近 几个 卖 早点 老头 手指甲 有长 里面 全是 黑黑的 东西 看见 指甲 伸到 粥 里面 之后 现在 想 想 吐
73,食品餐饮,服务太差，结帐都需要20分钟，上菜慢，味道一般！,0,服务 太 差 结帐 需要 分钟 上菜 慢 味道
75,食品餐饮,说实话真不咋滴，成本几块钱的东西，买个三四十，叫个外卖还要外送费。以为中国人的钱很好挣么？,0,说实话 真 滴 成本 几块钱 东西 买个 三四十 叫个 外卖 还要 外送费 以为 中国 人 钱 好 挣
85,食品餐饮,烤鱼明显份量不足，不到2.5斤，天气虽然有点不好，但等待时间过长，还收了6元包装费不太值！,0,烤鱼 明显 份量 不足 不到 斤 天气 有点 不好 等待时间 过长 还收 元 包装费 不太值
93,食品餐饮,今天突然不给红包了，就因为我昨天多刮出了几块钱？你大爷的系统！！！,0,今天 突然 红包 昨天 刮 几块钱 大爷 系统
97,食品餐饮,这里的牛排又焦又硬，是吃过的西餐厅中最差的。看看最后一张相片，那是别处的牛排。,0,牛排 焦 硬是 吃 西餐厅 中 最差 看看 最后 一张 相片 别处 牛排
98,食品餐饮,太慢了！商家配送今天90分钟才送到！建议统一采用蜂鸟配送！,0,太慢 商家 配送 今天 分钟 送到 建议 统一 采用 蜂鸟 配送
106,食品餐饮,服务员很差劲&hellip	&hellip	推荐我买西瓜汁&hellip	&hellip	结果居然西瓜子都扎进去了&hellip	&hellip	把我嘴弄破了&hellip	&hellip	我也没理他&hellip	&hellip	去结账同一个服务员居然在收银台要我两次钱我都无语了&hellip	&hellip	经理来了才说她糊涂了&hellip	&hellip	问题我就没离开收银台啊&hellip	&hellip	服了&hellip	&hellip	,0,服务员 差劲 推荐 买 西瓜汁 西瓜子 扎 嘴 弄 破 没理 结账 同一个 服务员 收银台 两次 钱 无语 经理 说 糊涂 问题 离开 收银台 服
112,食品餐饮,一般般，卫生很差，一般般，卫生很差，,0,一般般 卫生 很差 一般般 卫生 很差
123,食品餐饮,一直是比较喜欢麦当劳的，可是不得不说，你们的网上订餐真的太差了！上次加班到8点，预计还要继续加班，想着麦当劳的30分钟送达，就上网页订餐。先是网站，开网页登录，每添加到购物车里一次，都弹网页让我重新登录，忍了，小问题，等9份餐都点好了，选择支付宝支付，弹一个正在转到支付宝支付页面的窗口，然后就不动了。刷新一下，什么都没有了，又让重新点。换一个浏览器。登录，点餐，支付，还是没反应，小心的点了返回，再次支付，没反应。难道麦当劳不支持苹果系统。我们换 windows 来，终于成功下单。饿着肚子等待了40分钟后实在是忍不住了，开始给麦当劳打电话...,0,一直 比较 喜欢 麦当劳 说 网上 订餐 真的 太差 上次 加班 点 预计 还要 继续 加班 想着 麦当劳 分钟 送达 网页 订餐 先是 网站 开 网页 登录 添加 购物车 里 一次 弹 网页 重新 登录 忍 小 问题 等份餐 点 好 选择 支付宝 支付 弹 一个 正在 转 支付宝 支付 页面 窗口 不动 刷新 一下 重新 点换 一个 浏览器 登录 点餐 支付 反应 小心 点 返回 再次 支付 反应 麦当劳 支持 苹果 系统 换来 终于 成功 下单 饿着肚子 等待 分钟 后 实在 忍不住 麦当劳 打电话
136,食品餐饮,大鸭梨不日从前了，各种菜色越来越糊弄事，唉,0,大鸭梨 从前 菜色 越来越 糊弄 事
143,食品餐饮,就是个大食堂的口味水平，中级餐馆儿的价位。没有任何特色，口味着实相当的一般。再也不会去了。,0,食堂 口味 水平 中级 餐馆 儿 价位 特色 口味 着实 相当 再也不会
144,食品餐饮,百度骑士超快的！服务还可以！比狗屁的美团外卖好了不知道多少！饿了么也是不亏在315曝光了！不曝光我也给曝光了！就跟菜市场一样！,0,百度 骑士 超快 服务 狗屁 美团 外卖 好 知道 饿 亏 曝光 曝光 曝光 菜市场
150,食品餐饮,服务真心的太差了，根本没人给换烤肉的纸。领位也是真心的惹不起，乱安排。说实话，吃的也是一般般，肉不新鲜。这个价位食品也就这个档次了。,0,服务 真心 太差 根本 没人 换 烤肉 纸 领位 真心 惹不起 乱 安排 说实话 吃 一般般 肉 新鲜 价位 食品 档次
151,食品餐饮,破地方 订餐订不上不说 退钱退了一下午也收不到 谁用谁上当!!!!,0,破 地方 订餐 订不上 说 退钱 退 下午 收不到 上当
152,食品餐饮,以前是这里的常客，想吃饺子就来老边，味道可口，皮薄馅大，炒菜拌菜都好。但是现在不同了，有段时间了，质量退步，尤其是饺子皮厚了，馅儿也不鲜了，真是让人感到惋惜，好好的一个老字号没了，太可惜！,0,以前 常客 想 吃饺子 老边 味道 可口 皮薄 馅 炒菜 拌 菜 好 现在 段时间 质量 退步 尤其 饺子皮 厚 馅儿 不鲜 真是 人 感到 惋惜 好好 一个 老字号 太 可惜
