3,食品餐饮,使用说明看不懂！不会用，很多操作没详细标明！,0
4,食品餐饮,越来越不好了，菜品也少了，服务也不及时。,0
18,食品餐饮,越来越差了，价位高了，菜量小了。希望努力提高。,0
19,食品餐饮,比晋祠路上的那个量少多了，各种东西量都少,0
23,食品餐饮,哪个菜都不好吃，特别是烤鸭，太失望了,0
32,食品餐饮,虾好吃，扇贝限量一个，还有生蚝什么的不好吃,0
37,食品餐饮,回龙观店吃的，空调不足，老板马门帘掀开了，受不了。,0
39,食品餐饮,下面的评价都是托，教的口味根本不好，和我们这的差距很大，真会骗人,0
41,食品餐饮,全家聚餐去的十几个人，总觉得好像换厨师了，有好几个菜都没有，而且味道不如以前去的好，有些菜做咸了，有的又偏甜，希望有改进,0
43,食品餐饮,太辣了，都吃不出来什么味道了，舌头都麻木了，就剩辣味了。,0
44,食品餐饮,肯德基你啥时候能把握好食品卫生这关，经常性的爆出食品问题，现在都很少去吃了，真心感觉不是很健康。,0
47,食品餐饮,点了五个菜两人。没一个好吃。鸭架子汤还是凉的。哎太失望了,0
51,食品餐饮,味道不怎么样，点的肘子都做成了黑色！别的味道也都极其一般。包间小的可怜，2岁孩子吃完了想溜达下，椅子跟墙的空间都过不去！服务也差的很，餐具要了好几次才给，茶水第一次给送来，后来再加水都是自己动手的,0
64,食品餐饮,我超爱吃饭儿的早餐，用一种周围同事无法理解的感情去爱，其实就一点：干净、放心。我几年前看过央视的报道之后，就再也没敢在外面吃过肉包子，都是猪淋巴，没人要的垃圾，还有我家附近几个卖早点的，那老头手指甲有5cm长，里面全是黑黑的东西，自从看见他的指甲伸到我的粥里面之后，我现在想起来还想吐。,0
73,食品餐饮,服务太差，结帐都需要20分钟，上菜慢，味道一般！,0
75,食品餐饮,说实话真不咋滴，成本几块钱的东西，买个三四十，叫个外卖还要外送费。以为中国人的钱很好挣么？,0
85,食品餐饮,烤鱼明显份量不足，不到2.5斤，天气虽然有点不好，但等待时间过长，还收了6元包装费不太值！,0
93,食品餐饮,今天突然不给红包了，就因为我昨天多刮出了几块钱？你大爷的系统！！！,0
